number,portuguese,english
681,pedra,stone
427,se,stood
262,pare,stop
556,loja,store
234,história,story
666,reta,straight
598,estranho,strange
822,córrego,stream
350,rua,street
982,trecho,stretch
814,corda,string
442,forte,strong
772,estudante,student
211,estudo,study
519,assunto,subject
857,substância,substance
957,subtrair,subtract
955,sucesso,success
75,tais,such
512,súbita,sudden
914,sufixo,suffix
902,açúcar,sugar
618,sugerir,suggest
846,terno,suit
557,verão,summer
217,sol,sun
775,fornecimento,supply
887,apoio,support
268,certo,sure
362,superfície,surface
679,surpresa,surprise
961,mergulho,swim
533,sílaba,syllable
608,símbolo,symbol
367,sistema,system
472,mesa,table
447,cauda,tail
105,tomar,take
313,discussão,talk
736,alto,tall
430,ensinar,teach
632,equipe,team
898,dentes,teeth
50,dizer,tell
740,temperatura,temperature
476,dez,ten
962,prazo,term
369,teste,test
191,que,than
911,obrigado,thank
4,que,that
29,o,the
42,seu,their
161,eles,them
160,depois,then
152,lá,there
166,estes,these
11,eles,they
757,grossa,thick
825,fina,thin
170,coisa,thing
133,acho que,think
714,terceiro,third
16,este,this
289,aqueles,those
311,embora,though
226,pensava,thought
380,mil,thousand
53,três,three
128,através,through
983,jogar,throw
797,assim,thus
833,amarrar,tie
43,tempo,time
682,minúsculo,tiny
392,pneu,tire
31,a,to
276,juntos,together
343,disse,told
616,tom,tone
148,também,too
253,tomou,took
942,ferramenta,tool
347,topo,top
943,total de,total
628,tocar,touch
480,direção,toward
403,cidade,town
852,trilha,track
600,comércio,trade
558,trem,train
473,viagens,travel
228,árvore,tree
826,triângulo,triangle
602,viagem,trip
611,dificuldade,trouble
976,caminhão,truck
455,verdade,true
89,tentar,try
819,tubo,tube
139,vez,turn
695,vinte,twenty
173,dois,two
729,tipo,type
125,sob,under
401,unidade,unit
294,até,until
154,up,up
90,nós,us
155,usar,use
304,habitual,usual
946,vale,valley
743,valor,value
522,variar,vary
468,verbo,verb
127,muito,very
749,vista,view
703,aldeia,village
583,visita,visit
500,voz,voice
479,vogal,vowel
413,esperar,wait
282,andar,walk
564,parede,wall
54,quer,want
481,guerra,war
439,quente,warm
6,foi,was
807,lavagem,wash
269,assista,watch
190,água,water
538,onda,wave
157,maneira,way
35,nós,we
637,desgaste,wear
589,tempo,weather
431,semana,week
525,peso,weight
56,bem,well
82,fui,went
39,foram,were
463,oeste,west
22,o que,what
356,roda,wheel
153,quando,when
110,onde,where
710,se,whether
40,que,which
243,enquanto,while
278,branco,white
194,que,who
348,inteiro,whole
776,cuja,whose
78,por que,why
548,ampla,wide
964,esposa,wife
574,selvagem,wild
45,vontade,will
937,vitória,win
330,vento,wind
555,janela,window
804,asa,wing
571,inverno,winter
633,fio,wire
567,desejo,wish
10,com,with
799,mulher,woman
906,mulheres,women
378,pergunto,wonder
752,não vai,won’t
272,madeira,wood
20,palavra,word
103,trabalho,work
95,mundo,world
163,faria,would
162,escrever,write
573,escrito,written
989,errado,wrong
614,escreveu,wrote
622,quintal,yard
117,ano,year
839,amarelo,yellow
394,sim,yes
537,ainda,yet
26,você,you
305,jovem,young
156,seu,your
